file_name,text
000032.png,"72900,00"
000026.png,"498026,00"
000027.png,"11200,00"
000033.png,"267637,00"
000019.png,"11200,00"
000025.png,"11200,00"
000031.png,"17091061,00"
000030.png,"70000,00"
000024.png,"498026,00"
000018.png,"161766,00"
000020.png,"11200,00"
000034.png,"367197,00"
000008.png,"5200,00"
000009.png,"5200,00"
000035.png,"165023,00"
000021.png,"12779,6"
000037.png,"99998630,00"
000023.png,"7.426,00"
000022.png,"1400,00"
000036.png,"120,00"
000042.png,"14516,00"
000040.png,"70830,00"
000041.png,"22600,00"
000013.png,"5200,00"
000007.png,"100000,00"
000006.png,"34569,00"
000012.png,"1000,00"
000038.png,"6200,00"
000004.png,"50.000"
000010.png,"35.000.00"
000011.png,"35.000.00"
000005.png,"13000,0"
000039.png,"2380,00"
000001.png,"11200,00"
000015.png,"100000,00"
000029.png,"29994,00"
000028.png,"38000,00"
000014.png,"5200,00"
000000.png,"15.000,000,00"
000016.png,"146846,00"
000002.png,"7,460"
000003.png,"1000"
000017.png,"11000,00"
000043.png,"500"
000044.png,"1550,40"
000045.png,"35,40"
000046.png,"352,33"
000047.png,"1550,40"
000048.png,"8000"
000049.png,"500.000"
000050.png,"1000,00"
000051.png,"1000,00"
000052.png,"35.000.00"
000053.png,"34567,00"
000054.png,"7,460"
000055.png,"16800,00"
000056.png,"42000"
000057.png,"35000"
000058.png,"27832"
000059.png,"65000"
000060.png,"110000"
000061.png,"150000"
000062.png,"51400"
000063.png,"700000,00"
000064.png,"11555"
000065.png,"450000,00"
000066.png,"6800,00"
000067.png,"50000,00"
000068.png,"9270,00"
000069.png,"7700,00"
000070.png,"85040"
000071.png,"4000"
000072.png,"210500,00"
000073.png,"800500"
000074.png,"6755,00"
000075.png,"2000"
000076.png,"6600"
000077.png,"500,00"
000078.png,"2300,00"
000079.png,"366280,00"
000080.png,"294570,00"
000081.png,"152450,00"
000082.png,"13311,00"
000083.png,"12200,00"
000084.png,"38000,00"
000085.png,"47913,00"
000086.png,"14050,00"
000087.png,"136000,00"
000088.png,"43000"
000089.png,"10500"
000090.png,"10500"
000091.png,"25000"
000092.png,"9000"
000093.png,"12345,66"
000094.png,"2001.160.00"
000095.png,"12,3456.67"
000096.png,"3000"
000097.png,"4000"
000098.png,"25,20"
000099.png,"450,50"
000100.png,"5,432"
000101.png,"300,00,00"
000102.png,"5055,50"
000103.png,"6,543.99"
000104.png,"200,200"
000105.png,"150,50"
000106.png,"78,910"
000107.png,"1,234"
000108.png,"200,000"
000109.png,"78,910"
000110.png,"9999"
000111.png,"666"
000112.png,"5555"
000113.png,"8888"
000114.png,"123,456"
000115.png,"4444"
000116.png,"987,54"
000117.png,"150,000.20"
000118.png,"8000"
000119.png,"5555"
000120.png,"9999"
000121.png,"111"
000122.png,"22222"
000123.png,"7777"
000124.png,"1234567890"
000125.png,"12345678"
000126.png,"99999"
000127.png,"888888"
000128.png,"77777"
000129.png,"6666"
000130.png,"5555555"
000131.png,"444444"
000132.png,"3333333"
000133.png,"222222"
000134.png,"00000"
000135.png,"20"
000136.png,"19"
000137.png,"18"
000138.png,"17"
000139.png,"123456789"
000140.png,"0123456789"
000141.png,"0123456789"
000142.png,"34567890"
000143.png,"56789012"
000144.png,"78901234"
000145.png,"90123456"
000146.png,"5678"
000147.png,"1234"
000148.png,"890"
000149.png,"567"
000150.png,"1234"
000151.png,"890"
000152.png,"345"
000153.png,"102"
000154.png,"89"
000155.png,"5678910"
000156.png,"789"
000157.png,"4567"
000158.png,"6789"
000159.png,"46"
000160.png,"3456"
000161.png,"4567"
000162.png,"34567"
000163.png,"111213"
000164.png,"8910"
000165.png,"2345"
000166.png,"789"
000167.png,"1500.00"
000168.png,"51400"
000169.png,"700000,00"
000170.png,"11555"
000171.png,"450000,00"
000172.png,"6800,00"
000173.png,"50000,00"
000174.png,"705,00"
000175.png,"9270,00"
000176.png,"7700,00"
000177.png,"20000"
000178.png,"6600"
000179.png,"500,00"
000180.png,"294570,00"
000181.png,"38000,00"
000182.png,"3450,00"
000183.png,"160000"
000184.png,"605000"
000185.png,"56000.0"
000186.png,"43000"
000187.jpg,"2173"
000188.jpg,"145000"
000189.jpg,"2480"
000190.jpg,"4000,00"
000191.jpg,"1500"
000192.jpg,"3650"
000193.jpg,"188270"
000194.jpg,"759300"
000195.jpg,"10813"
000196.jpg,"145000"
000197.jpg,"2480"
000198.jpg,"6755,00"
000199.jpg,"13311,00"
000200.jpg,"38000,00"
000201.jpg,"367197,00"
000202.jpg,"70830,00"
000203.jpg,"9270,00"
000204.jpg,"7700,00"
000205.jpg,"1000"
000206.jpg,"210500,00"
000207.jpg,"800500"
000208.jpg,"950420,00"
000209.jpg,"2300,00"
000210.jpg,"366280,00"
000211.jpg,"294570,00"
000212.jpg,"700000,00"
000213.jpg,"66505,00"
000214.jpg,"330800,00"
000215.jpg,"38000,00"
000216.jpg,"6258340,00"
000217.jpg,"14050,00"
000218.jpg,"136000,00"
000219.jpg,"120000"
000220.jpg,"70500"
000221.jpg,"11000,00"
000222.jpg,"161766,00"
000223.jpg,"11200,00"
000224.jpg,"12779,6"
000225.jpg,"1400,00"
000226.jpg,"7426,00"
000227.jpg,"29994,00"
000228.jpg,"70000,00"
000229.jpg,"17091061,00"
000230.jpg,"72900,00"
000231.jpg,"120,00"
000232.jpg,"99998630,00"
000233.jpg,"6200,00"
000234.jpg,"2380,00"
000235.jpg,"13000,00"
