                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9037,                 3.6684,                 2.2529,                0.40629,                0.09524,                0.07213,                0.01937,                 2.5164,                 2.7751,                 2.1566,             0.00038583,             0.00038583,             0.00038583
                      2,                 1.9232,                  2.247,                 1.5126,                0.66698,                0.14286,                0.34435,                0.12703,                 2.3062,                 2.6821,                 1.8172,             0.00078206,             0.00078206,             0.00078206
                      3,                 1.7093,                 1.8875,                 1.3744,                0.58228,                 0.7094,                0.61375,                0.32171,                 1.8664,                 1.6985,                 1.4916,              0.0011743,              0.0011743,              0.0011743
                      4,                 1.6314,                 1.6992,                 1.3097,                0.70205,                0.75547,                0.76348,                0.36288,                 1.7766,                 1.4038,                 1.5373,              0.0014078,              0.0014078,              0.0014078
                      5,                 1.5503,                 1.5509,                 1.2864,                0.65093,                0.77551,                0.77067,                0.35657,                 1.7785,                 1.4468,                 1.3987,              0.0014007,              0.0014007,              0.0014007
                      6,                 1.5176,                 1.4495,                 1.2437,                 0.7201,                0.78852,                0.81627,                0.45844,                 1.6262,                 1.3832,                 1.3231,              0.0013936,              0.0013936,              0.0013936
                      7,                 1.4695,                 1.3476,                 1.2102,                0.77963,                  0.862,                0.89039,                0.51738,                 1.5345,                 1.1521,                 1.2639,              0.0013866,              0.0013866,              0.0013866
                      8,                 1.4215,                 1.2954,                 1.1899,                0.89494,                0.87009,                 0.9444,                0.47923,                 1.5859,                 1.1076,                 1.2791,              0.0013795,              0.0013795,              0.0013795
                      9,                 1.3368,                 1.2251,                 1.1762,                0.77725,                0.89605,                 0.8958,                0.52054,                 1.5268,                 1.0642,                 1.3073,              0.0013724,              0.0013724,              0.0013724
                     10,                 1.3445,                 1.1819,                 1.1646,                 0.8664,                0.89285,                0.94432,                0.57212,                 1.5011,                  1.034,                 1.2598,              0.0013653,              0.0013653,              0.0013653
                     11,                 1.3749,                 1.1823,                 1.1693,                0.90683,                0.92828,                0.94743,                0.54935,                 1.4977,                 1.0384,                 1.2512,              0.0013583,              0.0013583,              0.0013583
